text,letterColor,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,session,participant,date,expName,frameRate,
blue,red,left,0,0,0,0,5,left,1,0.5329910000145901,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,blue,right,1,0,1,1,4,right,1,0.9678750000020955,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,green,down,1,0,2,2,2,down,1,0.7494110999978147,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,red,left,1,0,3,3,0,left,1,1.0680801999988034,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,green,down,0,0,4,4,1,down,1,0.6846151000063401,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,blue,right,0,0,5,5,3,right,1,0.532688799983589,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,blue,right,1,1,0,6,4,down,0,0.6500877999933437,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,red,left,0,1,1,7,5,left,1,0.7671348000003491,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,red,left,1,1,2,8,0,left,1,0.7010303999995813,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,green,down,0,1,3,9,1,down,1,0.7681288000021596,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,blue,right,0,1,4,10,3,right,1,0.7995499999960884,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,green,down,1,1,5,11,2,down,1,0.7015474000072572,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,blue,right,0,2,0,12,3,right,1,0.8851253999746405,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,red,left,1,2,1,13,0,left,1,0.650649599992903,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,blue,right,1,2,2,14,4,down,0,0.6491853999905288,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,green,down,1,2,3,15,2,right,0,0.5156955000129528,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,green,down,0,2,4,16,1,right,0,0.7170541000086814,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,red,left,0,2,5,17,5,left,1,0.5831218000093941,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,blue,right,0,3,0,18,3,down,0,0.5172672999906354,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,red,left,0,3,1,19,5,left,1,1.4497231999994256,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,blue,right,1,3,2,20,4,down,0,0.7681381999864243,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,red,left,1,3,3,21,0,left,1,0.6328131000045687,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,green,down,1,3,4,22,2,down,1,0.6661642999970354,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,green,down,0,3,5,23,1,down,1,0.48375649997615255,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,blue,right,1,4,0,24,4,right,1,0.7498242000001483,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,blue,right,0,4,1,25,3,down,0,0.5325809000059962,01,,2019_Nov_15_1628,stroop,59.55089099849784,
blue,red,left,0,4,2,26,5,right,0,0.5829131999926176,01,,2019_Nov_15_1628,stroop,59.55089099849784,
green,green,down,1,4,3,27,2,left,0,0.6656276999856345,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,green,down,0,4,4,28,1,down,1,1.7018871000036597,01,,2019_Nov_15_1628,stroop,59.55089099849784,
red,red,left,1,4,5,29,0,down,0,0.7685815000149887,01,,2019_Nov_15_1628,stroop,59.55089099849784,
